Month,Rep,Category,Actual Revenue (ZAR),Target Revenue (ZAR),Achievement %,Base Commission (ZAR)
2025-07-01,Naledi Mokoena,Backup Storage & Management,1025.32,0.0,,51.27
2025-08-01,Naledi Mokoena,Backup Storage & Management,0.0,0.0,100.0,0.0
2025-09-01,Naledi Mokoena,Backup Storage & Management,0.0,0.0,100.0,0.0
2025-10-01,Naledi Mokoena,Backup Storage & Management,0.0,0.0,100.0,0.0
2025-11-01,Naledi Mokoena,Backup Storage & Management,3197.95,0.0,,159.9
2025-12-01,Naledi Mokoena,Backup Storage & Management,0.0,0.0,100.0,0.0
2025-07-01,Naledi Mokoena,Image Processing,0.0,0.0,100.0,0.0
2025-08-01,Naledi Mokoena,Image Processing,0.0,0.0,100.0,0.0
2025-09-01,Naledi Mokoena,Image Processing,4083.96,0.0,,204.2
2025-10-01,Naledi Mokoena,Image Processing,0.0,0.0,100.0,0.0
2025-11-01,Naledi Mokoena,Image Processing,0.0,0.0,100.0,0.0
2025-12-01,Naledi Mokoena,Image Processing,0.0,0.0,100.0,0.0
2025-07-01,Naledi Mokoena,Records Management - New,0.0,0.0,100.0,0.0
2025-08-01,Naledi Mokoena,Records Management - New,0.0,0.0,100.0,0.0
2025-09-01,Naledi Mokoena,Records Management - New,0.0,0.0,100.0,0.0
2025-10-01,Naledi Mokoena,Records Management - New,0.0,0.0,100.0,0.0
2025-11-01,Naledi Mokoena,Records Management - New,3655.24,0.0,,182.76
2025-12-01,Naledi Mokoena,Records Management - New,0.0,0.0,100.0,0.0
2025-07-01,Naledi Mokoena,Records Management - Ongoing,0.0,0.0,100.0,0.0
2025-08-01,Naledi Mokoena,Records Management - Ongoing,0.0,0.0,100.0,0.0
2025-09-01,Naledi Mokoena,Records Management - Ongoing,0.0,0.0,100.0,0.0
2025-10-01,Naledi Mokoena,Records Management - Ongoing,1780.16,0.0,,89.01
2025-11-01,Naledi Mokoena,Records Management - Ongoing,0.0,0.0,100.0,0.0
2025-12-01,Naledi Mokoena,Records Management - Ongoing,0.0,0.0,100.0,0.0
2025-07-01,Naledi Mokoena,Software Integration and Related Services,3302.75,0.0,,165.14
2025-08-01,Naledi Mokoena,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-09-01,Naledi Mokoena,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-10-01,Naledi Mokoena,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-11-01,Naledi Mokoena,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-12-01,Naledi Mokoena,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-07-01,Kabelo Sithole,Backup Storage & Management,1934.92,0.0,,96.75
2025-08-01,Kabelo Sithole,Backup Storage & Management,0.0,0.0,100.0,0.0
2025-09-01,Kabelo Sithole,Backup Storage & Management,0.0,0.0,100.0,0.0
2025-10-01,Kabelo Sithole,Backup Storage & Management,4609.95,0.0,,230.5
2025-11-01,Kabelo Sithole,Backup Storage & Management,0.0,0.0,100.0,0.0
2025-12-01,Kabelo Sithole,Backup Storage & Management,0.0,0.0,100.0,0.0
2025-07-01,Kabelo Sithole,Image Processing,0.0,0.0,100.0,0.0
2025-08-01,Kabelo Sithole,Image Processing,0.0,0.0,100.0,0.0
2025-09-01,Kabelo Sithole,Image Processing,0.0,0.0,100.0,0.0
2025-10-01,Kabelo Sithole,Image Processing,0.0,0.0,100.0,0.0
2025-11-01,Kabelo Sithole,Image Processing,0.0,0.0,100.0,0.0
2025-12-01,Kabelo Sithole,Image Processing,0.0,0.0,100.0,0.0
2025-07-01,Kabelo Sithole,Records Management - New,0.0,0.0,100.0,0.0
2025-08-01,Kabelo Sithole,Records Management - New,0.0,0.0,100.0,0.0
2025-09-01,Kabelo Sithole,Records Management - New,0.0,0.0,100.0,0.0
2025-10-01,Kabelo Sithole,Records Management - New,0.0,0.0,100.0,0.0
2025-11-01,Kabelo Sithole,Records Management - New,0.0,0.0,100.0,0.0
2025-12-01,Kabelo Sithole,Records Management - New,1214.49,0.0,,60.72
2025-07-01,Kabelo Sithole,Records Management - Ongoing,0.0,0.0,100.0,0.0
2025-08-01,Kabelo Sithole,Records Management - Ongoing,0.0,0.0,100.0,0.0
2025-09-01,Kabelo Sithole,Records Management - Ongoing,0.0,0.0,100.0,0.0
2025-10-01,Kabelo Sithole,Records Management - Ongoing,2333.61,0.0,,116.68
2025-11-01,Kabelo Sithole,Records Management - Ongoing,0.0,0.0,100.0,0.0
2025-12-01,Kabelo Sithole,Records Management - Ongoing,1916.52,0.0,,95.83
2025-07-01,Kabelo Sithole,Software Integration and Related Services,2652.15,0.0,,132.61
2025-08-01,Kabelo Sithole,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-09-01,Kabelo Sithole,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-10-01,Kabelo Sithole,Software Integration and Related Services,1620.84,0.0,,81.04
2025-11-01,Kabelo Sithole,Software Integration and Related Services,738.28,0.0,,36.91
2025-12-01,Kabelo Sithole,Software Integration and Related Services,0.0,0.0,100.0,0.0
2025-07-01,Refilwe Dube,Backup Storage & Management,0.0,0.0,100.0,0.0
2025-08-01,Refilwe Dube,Backup Storage & Management,0.0,0.0,100.0,0.0
2025-09-01,Refilwe Dube,Backup Storage & Management,0.0,0.0,100.0,0.0
2025-10-01,Refilwe Dube,Backup Storage & Management,0.0,0.0,100.0,0.0
2025-11-01,Refilwe Dube,Backup Storage & Management,4456.65,0.0,,222.83
2025-12-01,Refilwe Dube,Backup Storage & Management,0.0,0.0,100.0,0.0
2025-07-01,Refilwe Dube,Image Processing,0.0,0.0,100.0,0.0
2025-08-01,Refilwe Dube,Image Processing,0.0,0.0,100.0,0.0
2025-09-01,Refilwe Dube,Image Processing,0.0,0.0,100.0,0.0
2025-10-01,Refilwe Dube,Image Processing,0.0,0.0,100.0,0.0
2025-11-01,Refilwe Dube,Image Processing,1132.82,0.0,,56.64
2025-12-01,Refilwe Dube,Image Processing,743.19,0.0,,37.16
2025-07-01,Refilwe Dube,Records Management - New,3260.22,3093.09,105.4,163.01
2025-08-01,Refilwe Dube,Records Management - New,0.0,0.0,100.0,0.0
2025-09-01,Refilwe Dube,Records Management - New,0.0,0.0,100.0,0.0
2025-10-01,Refilwe Dube,Records Management - New,0.0,0.0,100.0,0.0
2025-11-01,Refilwe Dube,Records Management - New,0.0,0.0,100.0,0.0
2025-12-01,Refilwe Dube,Records Management - New,0.0,0.0,100.0,0.0
2025-07-01,Refilwe Dube,Records Management - Ongoing,1526.52,0.0,,76.33
2025-08-01,Refilwe Dube,Records Management - Ongoing,1732.97,0.0,,86.65
2025-09-01,Refilwe Dube,Records Management - Ongoing,0.0,0.0,100.0,0.0
2025-10-01,Refilwe Dube,Records Management - Ongoing,0.0,0.0,100.0,0.0
2025-11-01,Refilwe Dube,Records Management - Ongoing,0.0,0.0,100.0,0.0
