Rep,Month,Actual Revenue (ZAR),Target Revenue (ZAR),Achievement %,Base Commission (ZAR),Bonus Rate Applied,Bonus (ZAR),Total Commission (ZAR)
Amanda Pillay,2025-07-01,8409.91,0.0,0.0,420.5,0.0,0.0,420.5
Amanda Pillay,2025-08-01,2748.14,0.0,0.0,137.41,0.0,0.0,137.41
Amanda Pillay,2025-09-01,7548.719999999999,0.0,0.0,377.44,0.0,0.0,377.44
Amanda Pillay,2025-10-01,1084.25,0.0,0.0,54.21,0.0,0.0,54.21
Amanda Pillay,2025-11-01,3717.93,0.0,0.0,185.9,0.0,0.0,185.9
Amanda Pillay,2025-12-01,1418.35,0.0,0.0,70.92,0.0,0.0,70.92
Bongani Khumalo,2025-07-01,1429.58,0.0,0.0,71.48,0.0,0.0,71.48
Bongani Khumalo,2025-08-01,1947.79,0.0,0.0,97.39,0.0,0.0,97.39
Bongani Khumalo,2025-09-01,6121.85,0.0,0.0,306.09,0.0,0.0,306.09
Bongani Khumalo,2025-10-01,3699.49,0.0,0.0,184.97,0.0,0.0,184.97
Bongani Khumalo,2025-11-01,49761.14,39418.64,126.2,2488.06,0.03,1492.83,3980.89
Bongani Khumalo,2025-12-01,8600.93,7725.6,111.3,430.05,0.02,172.02,602.07
Chantelle Nel,2025-07-01,1684.34,0.0,0.0,84.22,0.0,0.0,84.22
Chantelle Nel,2025-08-01,2827.15,0.0,0.0,141.36,0.0,0.0,141.36
Chantelle Nel,2025-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chantelle Nel,2025-10-01,152627.65999999997,158834.93000000002,96.1,7631.38,0.01,1526.28,9157.66
Chantelle Nel,2025-11-01,184441.7,158834.93000000002,116.1,9222.09,0.02,3688.83,12910.92
Chantelle Nel,2025-12-01,160020.94,158834.93000000002,100.7,8001.05,0.02,3200.42,11201.470000000001
Grant Naidoo,2025-07-01,1174.18,0.0,0.0,58.71,0.0,0.0,58.71
Grant Naidoo,2025-08-01,1196.52,0.0,0.0,59.83,0.0,0.0,59.83
Grant Naidoo,2025-09-01,3258.23,0.0,0.0,162.91,0.0,0.0,162.91
Grant Naidoo,2025-10-01,3987.17,0.0,0.0,199.36,0.0,0.0,199.36
Grant Naidoo,2025-11-01,1484.82,0.0,0.0,74.24,0.0,0.0,74.24
Grant Naidoo,2025-12-01,2429.85,0.0,0.0,121.49,0.0,0.0,121.49
