Month,Rep,Category,Actual Revenue (ZAR)
2025-07-01,Naledi Mokoena,Backup Storage & Management,1025.32
2025-08-01,Naledi Mokoena,Backup Storage & Management,0.0
2025-09-01,Naledi Mokoena,Backup Storage & Management,0.0
2025-10-01,Naledi Mokoena,Backup Storage & Management,0.0
2025-11-01,Naledi Mokoena,Backup Storage & Management,3197.95
2025-12-01,Naledi Mokoena,Backup Storage & Management,0.0
2025-07-01,Naledi Mokoena,Image Processing,0.0
2025-08-01,Naledi Mokoena,Image Processing,0.0
2025-09-01,Naledi Mokoena,Image Processing,4083.96
2025-10-01,Naledi Mokoena,Image Processing,0.0
2025-11-01,Naledi Mokoena,Image Processing,0.0
2025-12-01,Naledi Mokoena,Image Processing,0.0
2025-07-01,Naledi Mokoena,Records Management - New,0.0
2025-08-01,Naledi Mokoena,Records Management - New,0.0
2025-09-01,Naledi Mokoena,Records Management - New,0.0
2025-10-01,Naledi Mokoena,Records Management - New,0.0
2025-11-01,Naledi Mokoena,Records Management - New,3655.24
2025-12-01,Naledi Mokoena,Records Management - New,0.0
2025-07-01,Naledi Mokoena,Records Management - Ongoing,0.0
2025-08-01,Naledi Mokoena,Records Management - Ongoing,0.0
2025-09-01,Naledi Mokoena,Records Management - Ongoing,0.0
2025-10-01,Naledi Mokoena,Records Management - Ongoing,1780.16
2025-11-01,Naledi Mokoena,Records Management - Ongoing,0.0
2025-12-01,Naledi Mokoena,Records Management - Ongoing,0.0
2025-07-01,Naledi Mokoena,Software Integration and Related Services,3302.75
2025-08-01,Naledi Mokoena,Software Integration and Related Services,0.0
2025-09-01,Naledi Mokoena,Software Integration and Related Services,0.0
2025-10-01,Naledi Mokoena,Software Integration and Related Services,0.0
2025-11-01,Naledi Mokoena,Software Integration and Related Services,0.0
2025-12-01,Naledi Mokoena,Software Integration and Related Services,0.0
2025-07-01,Kabelo Sithole,Backup Storage & Management,1934.92
2025-08-01,Kabelo Sithole,Backup Storage & Management,0.0
2025-09-01,Kabelo Sithole,Backup Storage & Management,0.0
2025-10-01,Kabelo Sithole,Backup Storage & Management,4609.95
2025-11-01,Kabelo Sithole,Backup Storage & Management,0.0
2025-12-01,Kabelo Sithole,Backup Storage & Management,0.0
2025-07-01,Kabelo Sithole,Image Processing,0.0
2025-08-01,Kabelo Sithole,Image Processing,0.0
2025-09-01,Kabelo Sithole,Image Processing,0.0
2025-10-01,Kabelo Sithole,Image Processing,0.0
2025-11-01,Kabelo Sithole,Image Processing,0.0
2025-12-01,Kabelo Sithole,Image Processing,0.0
2025-07-01,Kabelo Sithole,Records Management - New,0.0
